col,latitude,longitude
AB,57.29224834716708,-2.3194894604043337
AL,51.7765330651385,-0.28596621724112103
B,52.46290020650093,-1.8885980181405206
BA,51.220350131461174,-2.421672274900561
BB,53.78534920803871,-2.334998122665628
BD,53.83241308846967,-1.837200820844395
BH,50.750158630906014,-1.8921807802784065
BL,53.5873314360375,-2.408197234961664
BN,50.838589672165696,-0.11237345449182298
BR,51.393876302659535,0.04752007184393317
BS,51.444691325069584,-2.631317798478632
BT,55.415853509689626,-6.294109752762239
CA,54.719983228467925,-3.105750329784919
CB,52.206018421974655,0.20991289282946815
CF,51.55277933634026,-3.3290837686397916
CH,53.29135282969978,-3.0233519127902695
CM,51.75568719243001,0.40005522936373683
CO,51.90104674250183,0.9313950188294682
CR,51.356080026849355,-0.0991762502652619
CT,51.255319043931046,1.231276006601001
CV,52.37143997559159,-1.4993808946197285
CW,53.15633655080725,-2.4574934086868154
DA,51.440964404031995,0.22379767859071578
DD,56.54367990115168,-2.853218142276703
DE,52.930385009793625,-1.500350330005311
DG,55.02062278608265,-3.8837386250137733
DH,54.825673697874116,-1.6181457963556294
DL,54.533007028689354,-1.6681198278318736
DN,53.54124019955656,-0.7247161149248732
DT,50.75866443683712,-2.4855484328285473
DY,52.45308094617611,-2.1811184646574926
E,51.54414780559596,-0.014935240782578123
EC,51.519862556450896,-0.09703750616737133
EH,55.9273267865023,-3.227045934409818
EN,51.683813711787266,-0.08380102582708002
EX,50.83156737755312,-3.6763415214025903
FK,56.07762578421118,-3.8599249488381586
FY,53.82752172812794,-3.0202059285680405
G,55.869192302159504,-4.270645489968978
GI,99.999999,0.0
GL,51.83256595541697,-2.1778674241508527
GU,51.22092503186242,-0.7202374616235729
GY,99.92431305953548,-0.003834275561545373
HA,51.58694993948553,-0.33921530716798826
HD,53.634248490148316,-1.7821120422413903
HG,54.04250918542257,-1.5528611779095245
HP,51.724739805833316,-0.6908872097287513
HR,52.06839569316777,-2.7270201877215747
HS,57.97120143397657,-6.7041657069808975
HU,53.770882311320314,-0.3521203091437795
HX,53.71958602579479,-1.8954711796298642
IG,51.587706853409465,0.07428399370257005
IM,99.8638811927586,-0.013416825955008491
IP,52.203786074272955,1.081262384937707
IV,57.61408803615435,-4.188583461950256
JE,99.96869778373062,-0.0013056611829944547
KA,55.56406870061803,-4.604256518881763
KT,51.35758892389112,-0.34365156352777787
KW,58.65533479355684,-3.2876215190806453
KY,56.1648100434568,-3.199099026578612
L,53.4425902720491,-2.9253954868492666
LA,54.172496841129984,-2.9072070236327323
LD,52.130314643711294,-3.3398419697547674
LE,52.643292477188986,-1.1358380410762474
LL,53.12800881579948,-3.7281801795771985
LN,53.25512577858701,-0.3500574093867472
LS,53.822584113734436,-1.5534248978570246
LU,51.896215393477924,-0.5015669178907752
M,53.47710800617718,-2.2701535377456885
ME,51.33259729996299,0.5880790993619535
MK,52.07268588400226,-0.6607596647492952
ML,55.774691765020144,-3.940759445303698
N,51.75760344655023,-0.11222857269151083
NE,55.04216058158718,-1.650778630674905
NG,53.01009336284921,-1.063414030172669
NN,52.29682854019878,-0.833742484814442
NP,51.68360427176214,-3.0195513587917095
NR,52.647736480599725,1.3355342760532303
NW,51.5558352303293,-0.1978305095232862
OL,53.58373019382231,-2.124704881641267
OX,51.792204800303715,-1.294036451487293
PA,55.921336728249834,-4.7884904476739125
PE,52.66876597208854,-0.00928953714894639
PH,56.569941771315044,-3.7387415634333605
PL,50.431393379216644,-4.341676819010325
PO,50.800035245208676,-1.0472390957351
PR,53.724764223072285,-2.7543754518712094
RG,51.40254549977542,-1.0336077261025411
RH,51.107741227246706,-0.2093150804676788
RM,51.54868967502035,0.21780346081917318
S,53.397587012629565,-1.4064865139332625
SA,51.77280080058228,-4.225685218517769
SE,51.62452223956058,-0.0323780234246705
SG,51.95190752148104,-0.1581742014374723
SK,53.36979156895461,-2.098667375403751
SL,51.51655591944061,-0.6440200553416159
SM,51.363414810760595,-0.18545313312300016
SN,51.49875586422103,-1.9066637863472524
SO,50.93924428260983,-1.3874555194078755
SP,51.1072065804752,-1.7891234469114867
SR,54.929797201679804,-1.387490380116925
SS,51.56276492192994,0.5963321074738487
ST,52.97741835500976,-2.143541319013858
SW,51.46138629769664,-0.1691744220754058
SY,52.66571201520699,-3.051792097343465
TA,51.05658924897469,-3.0686128597004934
TD,55.622144164289786,-2.528561016640418
TF,52.7159332394586,-2.460959816506515
TN,51.08393782503802,0.4423139336323249
TQ,50.45687846854908,-3.621728450534065
TR,50.21071463640551,-5.244529252305226
TS,54.58474656343977,-1.2218323699105507
TW,51.44685790522768,-0.3926003831656741
UB,51.528969506635626,-0.41683209102844676
W,51.51144725213115,-0.1990685770142297
WA,53.39131022732112,-2.5974021883598217
WC,51.51901180517682,-0.12190934887943336
WD,51.661155361644894,-0.3897386605962849
WF,53.68521674727738,-1.4932744997857994
WN,53.53378269077084,-2.6360958873584117
WR,52.165529413905965,-2.185773858705053
WS,52.64849174396527,-1.954315350992562
WV,52.789772173009155,-2.159300883317755
XM,67.9,26.5
YO,54.0707380657024,-0.8426598382135376
ZE,60.225945636637185,-1.200802985322595
